Well,Experiment,Condition,Treatments,Rep,Time,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,BAabs,BPabs,BTabs,BUabs,PCabs,PJabs,ACabs,CGabs,CHabs,FPabs,ERabs,BHabs,RIabs,CSabs,EHabs,OD
1,REU03,1,REU03_1,1,26.37,0.5,0,0,0,0.5,0,1,0.037552942463269,0.03982849314063,0.008911514105197,0.03710800238669,0.054371677357955,0.002962029652655,0.00926746616646,0.003699358922414,0.000953443021241,0.000190688604248,0.000101700588932,8.898801531588E-05,0.00036866463488,0.000241538898714,1.27125736165432E-05,0.19836699871254
2,REU03,2,REU03_2,1,26.37,0.5,0,0.5,0,0,0,1,0.002001338177323,0.049232919162154,0.093062225245536,0.044913364262765,0.030520407204181,0.005020023261453,0.006837905439188,0.011841250882497,0.00325217453815,0.000283522908454,0.000116744727011,0.000183455999588,0.000216811635877,0.000483656726187,0,0.249767004529953
3,REU03,3,REU03_3,1,26.37,0,0.5,0.5,0,0,1,0,0.002885858414588,0.119120234954619,0.045097490406183,0.013438766412487,0.002304877017592,0.002733469851441,0.00017143713354,0.000523835685816,0.007809913861261,0.00020000998913,0.000180961418737,4.7621425983383E-05,0.000190485703933,0.000219058559523,9.52428519665942E-06,0.19726699499321
4,REU03,4,REU03_4,1,26.37,0,0.3333482476,0.3333482476,0,0.3333035047,1,1,0.034018823737681,0.079585506481104,0.07013359396157,0.013039205544005,0.082971266189593,0.004010512988032,0.001995179828217,0.005804159500268,0.009895285814693,0.000302299973972,0.000100766657991,0.000100766657991,0,0.012011385632499,0,0.316366999427795
5,REU03,5,REU03_5,1,26.37,0,0,0,1,0,1,1,0.000781210280457,0.003600360422979,0.28503985537394,0.11938931025255,0.00149448923218,0.026017698905677,0.014095750712606,0.011854016864336,0.028429261075785,0.000101896993103,0.000169828321839,0.004041914059759,6.79313287354745E-05,0.035697913250478,0,0.537166981975555
6,REU03,6,REU03_6,1,26.37,0.3333167095,0,0.333366581,0,0.3333167095,0,0,0.000635035871821,0.027515815673343,0.008854420621871,0.002518494537109,0.000339166886086,0.000887606957205,7.93794839776691E-05,0.000209273185032,0.000223705818482,6.49468505271877E-05,0.000115461067604,3.60815836262248E-05,0.000209273185032,0.000202056868307,2.16489501757433E-05,0.042366995493889
7,REU03,7,REU03_7,1,26.37,0.5,0,0,0.5,0,1,0,0.001356620484847,0.045561430227017,0.014492910390938,0.012916555602207,0.083737877110464,0.003401104877504,0.000171965976952,0.001347066819461,0.012200030698239,0.00015285864618,0.000162412311566,5.73219923174751E-05,0.000114643984635,0.000210180638498,0,0.176867007295609
9,REU03,9,REU03_9,1,26.37,0.3343112968,0,0.3328443516,0.3328443516,0,0,0,0.000119315904265,0.007438555983391,0.001504386672455,0.000608079849449,8.26586083766505E-05,0.000589391816251,2.87508203049238E-05,7.25958212699227E-05,5.17514765488541E-05,2.30006562439412E-05,4.95951650259925E-05,1.72504921829477E-05,0.000108534346651,0.000154535659139,1.65317216753345E-05,0.010967000405312
10,REU03,10,REU03_10,1,26.37,0,0.5,0,0.5,0,1,0,0.001884125313454,0.100375627217375,0.046459772973225,0.026952182837583,0.000896108380789,0.004974550370278,0.000344657069534,0.00043656562141,0.009753795067821,0.000149351396798,0.000218282810705,9.19085518758674E-05,0.000344657069534,0.000195305672736,2.29771379689182E-05,0.194467007200241
12,REU03,12,REU03_12,1,26.37,0.5,0,0.5,0,0,1,0,0.001463022961257,0.03375478155936,0.029018376289103,0.0149880913441,0.07538252121239,0.002347151945038,0.00014735483063,0.010020128482853,0.015640662736891,0.000115778795495,0.0002105069009,0.00014735483063,0.00023155759099,0.00037891242162,4.21013801800345E-05,0.186666994373322
