Well,Experiment,Condition,Treatments,Rep,pH,Time,OD,Inulin,Starch,Pectin,ArGal,Gum,AmAc,BHabs,BPabs,BTabs,ERabs,FPabs,BAabs,BUabs,PCabs,PJabs,ACabs,CGabs,CHabs,RIabs,CSabs,EHabs
1,REU04,BH,REU04_BH,1,1,0,0.002,0,1,0,0,0,1,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,REU04,BP,REU04_BP,1,1,0,0.002,0,1,0,0,0,1,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
3,REU04,BT,REU04_BT,1,1,0,0.002,0,1,0,0,0,1,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
4,REU04,ER,REU04_ER,1,1,0,0.002,0,1,0,0,0,1,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
5,REU04,FP,REU04_FP,1,1,0,0.002,0,1,0,0,0,1,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
6,REU04,BH-BP,REU04_BH-BP,1,1,0,0.004,0,1,0,0,0,1,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
7,REU04,BH-BT,REU04_BH-BT,1,1,0,0.004,0,1,0,0,0,1,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
8,REU04,BH-ER,REU04_BH-ER,1,1,0,0.004,0,1,0,0,0,1,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
9,REU04,BH,REU04_BH,2,1,0,0.002,0,1,0,0,0,1,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,REU04,BP,REU04_BP,2,1,0,0.002,0,1,0,0,0,1,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
11,REU04,BT,REU04_BT,2,1,0,0.002,0,1,0,0,0,1,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
12,REU04,ER,REU04_ER,2,1,0,0.002,0,1,0,0,0,1,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
13,REU04,FP,REU04_FP,2,1,0,0.002,0,1,0,0,0,1,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
14,REU04,BH-BP,REU04_BH-BP,2,1,0,0.004,0,1,0,0,0,1,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
15,REU04,BH-BT,REU04_BH-BT,2,1,0,0.004,0,1,0,0,0,1,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
16,REU04,BH-ER,REU04_BH-ER,2,1,0,0.004,0,1,0,0,0,1,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
17,REU04,BH,REU04_BH,3,1,0,0.002,0,1,0,0,0,1,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,REU04,BP,REU04_BP,3,1,0,0.002,0,1,0,0,0,1,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
19,REU04,BT,REU04_BT,3,1,0,0.002,0,1,0,0,0,1,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
20,REU04,ER,REU04_ER,3,1,0,0.002,0,1,0,0,0,1,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
21,REU04,FP,REU04_FP,3,1,0,0.002,0,1,0,0,0,1,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
22,REU04,BH-BP,REU04_BH-BP,3,1,0,0.004,0,1,0,0,0,1,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
23,REU04,BH-BT,REU04_BH-BT,3,1,0,0.004,0,1,0,0,0,1,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0
24,REU04,BH-ER,REU04_BH-ER,3,1,0,0.004,0,1,0,0,0,1,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
25,REU04,BH-FP,REU04_BH-FP,1,1,0,0.004,0,1,0,0,0,1,0.002,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
26,REU04,BP-BT,REU04_BP-BT,1,1,0,0.004,0,1,0,0,0,1,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0
27,REU04,BP-ER,REU04_BP-ER,1,1,0,0.004,0,1,0,0,0,1,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0
