Well,Experiment,Condition,Treatments,Rep,pH,Time,OD,Inulin,Starch,Pectin,ArGal,Gum,AmAc,BHabs,BTabs,BPabs,FPabs,ERabs,BAabs,BUabs,PCabs,PJabs,ACabs,CGabs,CHabs,RIabs,CSabs,EHabs
1,REU04,BH,REU04_BH,1,1,24.0044444,0.000567,0,1,0,0,0,1,0.000551966,2.15E-06,4.3E-06,0,2.15E-06,0,0,0,0,0,0,0,0,0,0
2,REU04,BP,REU04_BP,1,1,24.0044444,0.002267,0,1,0,0,0,1,0,0,0.002214279,0,0,0,0,0,0,0,0,0,0,0,0
3,REU04,BT,REU04_BT,1,1,24.0044444,0.001367,0,1,0,0,0,1,0,0.001363812,0,0,0,0,0,0,0,0,0,0,0,0,0
4,REU04,ER,REU04_ER,1,1,24.0044444,-0.01003,0,1,0,0,0,1,0,0,-6.15E-06,0,-0.009968542,0,0,0,0,0,0,0,0,0,0
5,REU04,FP,REU04_FP,1,1,24.0044444,0.001467,0,1,0,0,0,1,0,4.13E-05,0,0.001198394,2.07E-05,0,0,0,0,0,0,0,0,0,0
6,REU04,BH-BP,REU04_BH-BP,1,1,24.0044444,0.003067,0,1,0,0,0,1,0.000941356,0,0.002004178,0,0,0,0,0,0,0,0,0,0,0,0
7,REU04,BH-BT,REU04_BH-BT,1,1,24.0044444,0.013367,0,1,0,0,0,1,3.86E-05,0.013316821,3.86E-06,0,0,0,0,0,0,0,0,0,0,0,0
8,REU04,BH-ER,REU04_BH-ER,1,1,24.0044444,-0.00723,0,1,0,0,0,1,-0.000269714,-5.65E-05,0,0,-0.006895471,0,0,0,0,0,0,0,0,0,0
9,REU04,BH,REU04_BH,2,1,24.0044444,0.008367,0,1,0,0,0,1,0.007182991,0,3.95E-05,0,0,0,0,0,0,0,0,0,0,0,0
10,REU04,BP,REU04_BP,2,1,24.0044444,0.000967,0,1,0,0,0,1,0,2.39E-06,0.000955062,0,0,0,0,0,0,0,0,0,0,0,0
11,REU04,BT,REU04_BT,2,1,24.0044444,0.004267,0,1,0,0,0,1,1.41E-06,0.004250118,1.41E-06,0,0,0,0,0,0,0,0,0,0,0,0
12,REU04,ER,REU04_ER,2,1,24.0044444,-0.00683,0,1,0,0,0,1,0,0,0,0,-0.006815543,0,0,0,0,0,0,0,0,0,0
13,REU04,FP,REU04_FP,2,1,24.0044444,0.001767,0,1,0,0,0,1,0,2.69E-05,0,0.001713183,0,0,0,0,0,0,0,0,0,0,0
14,REU04,BH-BP,REU04_BH-BP,2,1,24.0044444,0.004367,0,1,0,0,0,1,0.001294453,1.42E-05,0.002944524,0,0,0,0,0,0,0,0,0,0,0,0
15,REU04,BH-BT,REU04_BH-BT,2,1,24.0044444,0.018167,0,1,0,0,0,1,6.71E-05,0.018089168,9.73E-07,0,0,0,0,0,0,0,0,0,0,0,0
16,REU04,BH-ER,REU04_BH-ER,2,1,24.0044444,-0.00713,0,1,0,0,0,1,-0.000337679,0,-1.66E-05,0,-0.006764643,0,0,0,0,0,0,0,0,0,0
17,REU04,BH,REU04_BH,3,1,24.0044444,0.001167,0,1,0,0,0,1,0.001076485,9.7E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
18,REU04,BP,REU04_BP,3,1,24.0044444,0.003667,0,1,0,0,0,1,0,2.7E-05,0.003599592,0,1.35E-05,0,0,0,0,0,0,0,0,0,0
19,REU04,BT,REU04_BT,3,1,24.0044444,0.002867,0,1,0,0,0,1,0,0.002861099,7.38E-07,0,0,0,0,0,0,0,0,0,0,0,0
20,REU04,ER,REU04_ER,3,1,24.0044444,-0.00933,0,1,0,0,0,1,0,-6.51E-06,-2.17E-06,0,-0.009303945,0,0,0,0,0,0,0,0,0,0
21,REU04,FP,REU04_FP,3,1,24.0044444,0.003367,0,1,0,0,0,1,1.58E-05,3.16E-05,0,0.00317731,0,0,0,0,0,0,0,0,0,0,0
22,REU04,BH-BP,REU04_BH-BP,3,1,24.0044444,0.004467,0,1,0,0,0,1,0.001310034,3.22E-05,0.003028111,0,0,0,0,0,0,0,0,0,0,0,0
23,REU04,BH-BT,REU04_BH-BT,3,1,24.0044444,0.013667,0,1,0,0,0,1,9.46E-05,0.013565844,1.47E-06,0,0,0,0,0,0,0,0,0,0,0,0
24,REU04,BH-ER,REU04_BH-ER,3,1,24.0044444,-0.00933,0,1,0,0,0,1,-0.000438775,-9.64E-06,-4.82E-06,0,-0.008828543,0,0,0,0,0,0,0,0,0,0
25,REU04,BH-FP,REU04_BH-FP,1,1,24.0044444,-0.00173,0,1,0,0,0,1,-0.000479246,-6.29E-06,-1.57E-06,-0.001202044,0,0,0,0,0,0,0,0,0,0,0
26,REU04,BP-BT,REU04_BP-BT,1,1,24.0044444,0.002467,0,1,0,0,0,1,0,0.002334079,0.000130681,0,0,0,0,0,0,0,0,0,0,0,0
27,REU04,BP-ER,REU04_BP-ER,1,1,24.0044444,-0.01543,0,1,0,0,0,1,0,-3.46E-06,-0.011602162,-1.15E-06,-0.003801344,0,0,0,0,0,0,0,0,0,0
28,REU04,BP-FP,REU04_BP-FP,1,1,24.0044444,-0.00083,0,1,0,0,0,1,0,0,-0.000576455,-0.000248282,-1.44E-06,0,0,0,0,0,0,0,0,0,0
29,REU04,BT-ER,REU04_BT-ER,1,1,24.0044444,0.227067,0,1,0,0,0,1,0,0.226836987,0,0,0.000148395,0,0,0,0,0,0,0,0,0,0
30,REU04,BT-FP,REU04_BT-FP,1,1,24.0044444,0.061667,0,1,0,0,0,1,0,0.06153491,2.36E-06,0.000106143,0,0,0,0,0,0,0,0,0,0,0
31,REU04,ER-FP,REU04_ER-FP,1,1,24.0044444,-0.01213,0,1,0,0,0,1,0,-1.3E-05,-2.16E-06,-0.001418017,-0.010683839,0,0,0,0,0,0,0,0,0,0
32,REU04,BH-BP-BT,REU04_BH-BP-BT,1,1,24.0044444,0.036667,0,1,0,0,0,1,4.47E-05,0.036075761,0.000532319,0,0,0,0,0,0,0,0,0,0,0,0
33,REU04,BH-FP,REU04_BH-FP,2,1,24.0044444,0.001767,0,1,0,0,0,1,0.000427134,5.97E-06,1.19E-06,0.001288562,0,0,0,0,0,0,0,0,0,0,0
34,REU04,BP-BT,REU04_BP-BT,2,1,24.0044444,0.004567,0,1,0,0,0,1,0,0.004380231,0.000184138,0,0,0,0,0,0,0,0,0,0,0,0
35,REU04,BP-ER,REU04_BP-ER,2,1,24.0044444,-0.00993,0,1,0,0,0,1,0,-4.07E-06,-0.006835728,0,-0.003075548,0,0,0,0,0,0,0,0,0,0
36,REU04,BP-FP,REU04_BP-FP,2,1,24.0044444,0.002167,0,1,0,0,0,1,0,7.16E-07,0.001552969,0.000604728,7.16E-07,0,0,0,0,0,0,0,0,0,0
37,REU04,BT-ER,REU04_BT-ER,2,1,24.0044444,0.233467,0,1,0,0,0,1,0,0.233160982,8.27E-06,0,0.000190227,0,0,0,0,0,0,0,0,0,0
