Well,Experiment,Condition,Treatments,Rep,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,Time,OD?,OD
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,0,0.01,0
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,2.000277778,0.010192375,0.000192375
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,4.000277778,0.01010125,0.00010125
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,6.000833333,0.010151875,0.000151875
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,8.001111111,0.00997975,-2.02499999999994E-05
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,10.00166667,0.009767125,-0.000232875
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,12.00222222,0.009706375,-0.000293625
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,14.00277778,0.009645625,-0.000354375
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,16.00277778,0.00953425,-0.00046575
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,18.00388889,0.0099595,-4.05000000000006E-05
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,20.00361111,0.010455625,0.000455625
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,22.00444444,0.010172125,0.000172125
1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,24.00444444,0.010567,0.000567
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,0,0.01,0
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,2.000277778,0.011471031,0.001471031
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,4.000277778,0.011249369,0.001249369
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,6.000833333,0.011571787,0.001571787
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,8.001111111,0.011188916,0.001188916
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,10.00166667,0.011017631,0.001017631
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,12.00222222,0.010735516,0.000735516
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,14.00277778,0.010896724,0.000896724
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,16.00277778,0.010604533,0.000604533
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,18.00388889,0.010876573,0.000876573
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,20.00361111,0.012055413,0.002055413
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,22.00444444,0.011682618,0.001682618
2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,24.00444444,0.012267,0.002267
3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,0,0.01,0
3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,2.000277778,0.011593531,0.001593531
3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,4.000277778,0.011359189,0.001359189
3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,6.000833333,0.011796629,0.001796629
3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,8.001111111,0.011554474,0.001554474
3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,10.00166667,0.011171714,0.001171714
3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,12.00222222,0.010952994,0.000952994
3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,14.00277778,0.0110936,0.0010936
3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,16.00277778,0.010562423,0.000562423
3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,18.00388889,0.010906126,0.000906126
3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,20.00361111,0.011296697,0.001296697
