Var1,Well,Experiment,Condition,Treatments,Rep,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,Time,OD
0,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,0,0.015266667
1,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,2.000277778,0.0136
2,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,4.000277778,0.011333333
3,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,6.000833333,0.011733333
4,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,8.001111111,0.011066667
5,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,10.00166667,0.006533333
6,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,12.00222222,0.006833333
7,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,14.00277778,0.006466667
8,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,16.00277778,0.0056
9,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,18.00388889,0.009433333
10,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,20.00361111,0.013533333
11,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,22.00444444,0.0114
12,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,24.00444444,0.014933333
13,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,0,0.004866667
14,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,2.000277778,0.00637648
15,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,4.000277778,0.005888413
16,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,6.000833333,0.00631262
17,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,8.001111111,0.005934027
18,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,10.00166667,0.005368417
19,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,12.00222222,0.005108419
20,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,14.00277778,0.005359294
21,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,16.00277778,0.004994385
22,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,18.00388889,0.005313681
23,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,20.00361111,0.006805248
24,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,22.00444444,0.006390164
25,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,24.00444444,0.007133667
26,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,0,0.009766667
27,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,2.000277778,0.011756105
28,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,4.000277778,0.011240033
29,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,6.000833333,0.011890047
30,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,8.001111111,0.011645799
31,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,10.00166667,0.010779113
32,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,12.00222222,0.010554563
33,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,14.00277778,0.010794871
34,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,16.00277778,0.010018793
35,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,18.00388889,0.010495471
36,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,20.00361111,0.010991845
37,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,22.00444444,0.010739719
38,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,24.00444444,0.011133667
39,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,0,0.012466667
40,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,2.000277778,0.0275
41,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,4.000277778,0.017433333
42,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,6.000833333,0.019433333
43,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,8.001111111,0.025466667
44,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,10.00166667,0.012733333
45,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,12.00222222,0.007733333
46,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,14.00277778,0.006366667
47,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,16.00277778,0.0037
48,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,18.00388889,0.010733333
49,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,20.00361111,0.011333333
50,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,22.00444444,0.0135
51,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,24.00444444,0.019633333
52,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,0,0.010666667
53,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,2.000277778,0.011677638
54,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,4.000277778,0.011208763
55,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,6.000833333,0.011397597
56,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,8.001111111,0.012319932
57,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,10.00166667,0.011170225
58,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,12.00222222,0.011097004
59,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,14.00277778,0.011052043
60,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,16.00277778,0.010876055
61,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,18.00388889,0.011574871
62,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,20.00361111,0.011682776
63,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,22.00444444,0.011758567
64,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,24.00444444,0.012133667
65,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,0,0.008566667
66,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,2.000277778,0.010031588
67,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,4.000277778,0.009039099
68,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,6.000833333,0.00928484
69,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,8.001111111,0.01174987
70,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,10.00166667,0.009021954
71,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,12.00222222,0.008953375
72,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,14.00277778,0.008898131
73,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,16.00277778,0.00866001
74,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,18.00388889,0.010387817
75,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,20.00361111,0.010616413
76,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,22.00444444,0.01082596
77,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,24.00444444,0.011633667
78,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,0,0.011766667
79,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,2.000277778,0.018067142
80,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,4.000277778,0.015408175
81,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,6.000833333,0.016324103
82,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,8.001111111,0.023806959
83,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,10.00166667,0.01564132
84,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,12.00222222,0.015274949
85,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,14.00277778,0.015030702
86,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,16.00277778,0.013770606
87,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,18.00388889,0.020520719
88,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,20.00361111,0.021336728
89,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,22.00444444,0.022163839
90,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,24.00444444,0.025133667
91,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,0,0.019266667
92,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,2.000277778,0.017033361
93,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,4.000277778,0.019323151
94,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,6.000833333,0.018606234
95,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,8.001111111,0.011458788
96,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,10.00166667,0.020053103
97,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,12.00222222,0.020405044
98,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,14.00277778,0.020700501
99,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,16.00277778,0.021569491
100,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,18.00388889,0.014643638
101,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,20.00361111,0.014565429
102,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,22.00444444,0.013005591
103,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,24.00444444,0.012036667
104,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,0,0.004866667
105,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,2.000277778,0.012494626
106,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,4.000277778,0.009828799
107,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,6.000833333,0.009512067
108,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,8.001111111,0.013260061
