Treat,Time,Sulfate,Lactate,Glucose,FP_abs,DP_abs,Sulfide
FP_1,0,0,0,0,0.01,0,0
FP_2,0,0,0,1,0.01,0,0
FP_3,0,0,1,0,0.01,0,0
FP_4,0,0,1,1,0.01,0,0
FP_5,0,1,0,0,0.01,0,0
FP_6,0,1,0,1,0.01,0,0
FP_7,0,1,1,0,0.01,0,0
FP_8,0,1,1,1,0.01,0,0
FP_9,0,0.5,0.5,0.5,0.01,0,0
FP_10,0,0.66,0.66,0.66,0.01,0,0
Pair_1,0,0,0,0,0.01,0.01,0
Pair_2,0,0,0,1,0.01,0.01,0
Pair_3,0,0,1,0,0.01,0.01,0
Pair_4,0,0,1,1,0.01,0.01,0
Pair_5,0,1,0,0,0.01,0.01,0
Pair_6,0,1,0,1,0.01,0.01,0
Pair_7,0,1,1,0,0.01,0.01,0
Pair_8,0,1,1,1,0.01,0.01,0
Pair_9,0,0.5,0.5,0.5,0.01,0.01,0
Pair_10,0,0.66,0.66,0.66,0.01,0.01,0
DP_1,0,0,0,0,0,0.01,0
DP_2,0,0,0,1,0,0.01,0
DP_3,0,0,1,0,0,0.01,0
DP_4,0,0,1,1,0,0.01,0
DP_5,0,1,0,0,0,0.01,0
DP_6,0,1,0,1,0,0.01,0
DP_7,0,1,1,0,0,0.01,0
DP_8,0,1,1,1,0,0.01,0
DP_9,0,0.5,0.5,0.5,0,0.01,0
DP_10,0,0.66,0.66,0.66,0,0.01,0
FP_1,6.97,0,0,0,0.025846692123995,5.06592678564779e-08,-34.8526749950333
FP_2,6.97,0,0,1,0.00446190135401874,3.42820701896378e-06,-30.9755384362333
FP_3,6.97,0,1,0,-0.00113275880680503,-5.74439108155515e-07,-31.63201811865
FP_4,6.97,0,1,1,0.000799909509080991,9.35029403914796e-08,-23.7545442627833
FP_5,6.97,1,0,0,0.00186533241507405,1.3354516327963e-06,-21.3922689521667
FP_6,6.97,1,0,1,0.00586002789730952,5.67055563389211e-06,-23.6658270552333
FP_7,6.97,1,1,0,-0.000399434748482606,-5.65168070891618e-07,-21.3942647423
FP_8,6.97,1,1,1,0.00206666876872381,0,-21.9196012780333
FP_9,6.97,0.5,0.5,0.5,0.00199813181119963,1.8691623429037e-06,-21.3638882507833
FP_10,6.97,0.66,0.66,0.66,0.000732706802715045,3.66728568515059e-07,-21.77350826125
Pair_1,6.97,0,0,0,0.0341460374539408,0.0759206291491476,469.019639829317
Pair_2,6.97,0,0,1,0.0392300053930503,0.0690540770152349,540.75676235495
Pair_3,6.97,0,1,0,0.0275706583886517,0.0478811938118715,397.996175027017
Pair_4,6.97,0,1,1,0.0263955255266727,0.0673378094120124,643.232259200167
Pair_5,6.97,1,0,0,0.036658894912719,0.0899411067403165,697.810271015217
Pair_6,6.97,1,0,1,0.0331925078436334,0.0818525843918506,563.334409580633
Pair_7,6.97,1,1,0,0.0447547568777633,0.109778584053175,1075.05622940092
Pair_8,6.97,1,1,1,0.0405994919394461,0.105105348126359,908.681203676217
Pair_9,6.97,0.5,0.5,0.5,0.027866883969515,0.07713311463971,626.0102116753
Pair_10,6.97,0.66,0.66,0.66,0.036148319308229,0.091701224768395,836.031546925833
DP_1,6.97,0,0,0,1.55219270316121e-05,0.0425094634012514,263.4987445541
DP_2,6.97,0,0,1,2.25891302799791e-05,0.0425107433765356,275.926642334967
DP_3,6.97,0,1,0,0,0.040666669011116,227.82060480795
DP_4,6.97,0,1,1,6.1481472518709e-06,0.0315938497308228,232.589674609467
DP_5,6.97,1,0,0,2.15478556847747e-05,0.0419117893956605,255.424878273867
DP_6,6.97,1,0,1,0,0.0391333295901616,235.92498864975
DP_7,6.97,1,1,0,1.2104150529146e-05,0.050187895658736,462.468610129183
DP_8,6.97,1,1,1,3.53077398246763e-05,0.0673646951370929,439.7884431028
DP_9,6.97,0.5,0.5,0.5,9.21332481311282e-06,0.0501241186892707,403.2429374804
DP_10,6.97,0.66,0.66,0.66,6.19072156272548e-05,0.0530047581158954,423.082730247367
FP_1,10.28,0,0,0,0.0179118140736699,2.15217272957426e-05,-65.081666855675
