Treatments,Time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
mono_exp_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
mono_exp_1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2521164401893944
mono_exp_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
mono_exp_2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11670817274576087,0.0
exp_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
exp_3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06380075560459107,0.24836691575733694
mono_exp_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
mono_exp_4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039449416615862945,0.0,0.0
exp_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
exp_5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018052899470886407,0.0,0.26963089573759386
exp_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
exp_6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04175788286778429,0.11242316787351292,0.0
exp_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
exp_7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021614749680361874,0.06158544492716902,0.25421052862821236
mono_exp_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
mono_exp_8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11863221973797203,0.0,0.0,0.0
exp_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
exp_9,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0740782742239395,0.0,0.0,0.2541420438457015
exp_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0
exp_10,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07050821932162346,0.0,0.10553407392959475,0.0
exp_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1
exp_11,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05323951509108127,0.0,0.06147347689990645,0.24496911310510536
exp_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
exp_12,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1083414792713194,0.027436148813902893,0.0,0.0
exp_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1
