Treatments,Time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
mono_exp_1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,1.0666666666666667,0.1354851200239836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,2.1333333333333333,0.16033256360388412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,3.2,0.18667602498162128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,4.266666666666667,0.20877170452642863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,5.333333333333333,0.22231691466390402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,6.4,0.24225694605964612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,7.466666666666667,0.228374481896519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,8.533333333333333,0.24840217543192428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,9.6,0.24158538262010337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,10.666666666666666,0.2602636800162011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,11.733333333333333,0.264213241948004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,12.8,0.23896272880747746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,13.866666666666667,0.26036706146910266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,14.933333333333334,0.24296435143139086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_1,16.0,0.25842749652716573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,1.0666666666666667,0.0,0.12752554923948153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,2.1333333333333333,0.0,0.16188845886410935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,3.2,0.0,0.17271881222827226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,4.266666666666667,0.0,0.1865207724292365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,5.333333333333333,0.0,0.20309878231280726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,6.4,0.0,0.2187954803997125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,7.466666666666667,0.0,0.23664052484759054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,8.533333333333333,0.0,0.2544426351223351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,9.6,0.0,0.23366017987651763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,10.666666666666666,0.0,0.25089258306644263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,11.733333333333333,0.0,0.26881343760379733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,12.8,0.0,0.26108863600798976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,13.866666666666667,0.0,0.25405999419844455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,14.933333333333334,0.0,0.2551819541608178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_2,16.0,0.0,0.2719883153854499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,1.0666666666666667,0.0,0.0,0.13598134795682065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,2.1333333333333333,0.0,0.0,0.17238813056333205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,3.2,0.0,0.0,0.19580726180066133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
